0x712aba3fd0	glVertexAttrib4s
0x712aba3fd8	glVertexAttrib4sv
0x712aba3fe0	glVertexAttrib4ubv
0x712aba3fe8	glVertexAttrib4uiv
0x712aba3ff0	glVertexAttrib4usv
0x712aba3ff8	glVertexAttribPointer
0x712aba4000	glUniformMatrix2x3fv
0x712aba4008	glUniformMatrix2x4fv
0x712aba4010	glUniformMatrix3x2fv
0x712aba4018	glUniformMatrix3x4fv
0x712aba4020	glUniformMatrix4x2fv
0x712aba4028	glUniformMatrix4x3fv
0x712aba4030	glBeginConditionalRender
0x712aba4038	glBeginTransformFeedback
0x712aba4040	glBindFragDataLocation
0x712aba4048	glClampColor
0x712aba4050	glClearBufferfi
0x712aba4058	glClearBufferfv
0x712aba4060	glClearBufferiv
0x712aba4068	glClearBufferuiv
0x712aba4070	glColorMaski
0x712aba4078	glDisablei
0x712aba4080	glEnablei
0x712aba4088	glEndConditionalRender
0x712aba4090	glEndTransformFeedback
0x712aba4098	glGetBooleani_v
0x712aba40a0	glGetFragDataLocation
0x712aba40a8	glGetStringi
0x712aba40b0	glGetTexParameterIiv
0x712aba40b8	glGetTexParameterIuiv
0x712aba40c0	glGetTransformFeedbackVarying
0x712aba40c8	glGetUniformuiv
0x712aba40d0	glGetVertexAttribIiv
0x712aba40d8	glGetVertexAttribIuiv
0x712aba40e0	glIsEnabledi
0x712aba40e8	glTexParameterIiv
0x712aba40f0	glTexParameterIuiv
0x712aba40f8	glTransformFeedbackVaryings
0x712aba4100	glUniform1ui
0x712aba4108	glUniform1uiv
0x712aba4110	glUniform2ui
0x712aba4118	glUniform2uiv
0x712aba4120	glUniform3ui
0x712aba4128	glUniform3uiv
0x712aba4130	glUniform4ui
0x712aba4138	glUniform4uiv
0x712aba4140	glVertexAttribI1i
0x712aba4148	glVertexAttribI1iv
0x712aba4150	glVertexAttribI1ui
0x712aba4158	glVertexAttribI1uiv
0x712aba4160	glVertexAttribI2i
0x712aba4168	glVertexAttribI2iv
0x712aba4170	glVertexAttribI2ui
0x712aba4178	glVertexAttribI2uiv
0x712aba4180	glVertexAttribI3i
0x712aba4188	glVertexAttribI3iv
0x712aba4190	glVertexAttribI3ui
0x712aba4198	glVertexAttribI3uiv
0x712aba41a0	glVertexAttribI4bv
0x712aba41a8	glVertexAttribI4i
0x712aba41b0	glVertexAttribI4iv
0x712aba41b8	glVertexAttribI4sv
0x712aba41c0	glVertexAttribI4ubv
0x712aba41c8	glVertexAttribI4ui
0x712aba41d0	glVertexAttribI4uiv
0x712aba41d8	glVertexAttribI4usv
0x712aba41e0	glVertexAttribIPointer
0x712aba41e8	glDrawArraysInstanced
0x712aba41f0	glDrawElementsInstanced
0x712aba41f8	glPrimitiveRestartIndex
0x712aba4200	glTexBuffer
0x712aba4208	glFramebufferTexture
0x712aba4210	glGetBufferParameteri64v
0x712aba4218	glGetInteger64i_v
0x712aba4220	glVertexAttribDivisor
0x712aba4228	glBlendEquationSeparatei
0x712aba4230	glBlendEquationi
0x712aba4238	glBlendFuncSeparatei
0x712aba4240	glBlendFunci
0x712aba4248	glMinSampleShading
0x712aba4250	glGetGraphicsResetStatus
0x712aba4258	glGetnCompressedTexImage
0x712aba4260	glGetnTexImage
0x712aba4268	glGetnUniformdv
0x712aba4270	glMultiDrawArraysIndirectCount
0x712aba4278	glMultiDrawElementsIndirectCount
0x712aba4280	glSpecializeShader
0x712aba4288	glTbufferMask3DFX
0x712aba4290	glDebugMessageCallbackAMD
0x712aba4298	glDebugMessageEnableAMD
0x712aba42a0	glDebugMessageInsertAMD
0x712aba42a8	glGetDebugMessageLogAMD
0x712aba42b0	glBlendEquationIndexedAMD
0x712aba42b8	glBlendEquationSeparateIndexedAMD
0x712aba42c0	glBlendFuncIndexedAMD
0x712aba42c8	glBlendFuncSeparateIndexedAMD
0x712aba42d0	glFramebufferSamplePositionsfvAMD
0x712aba42d8	glGetFramebufferParameterfvAMD
0x712aba42e0	glGetNamedFramebufferParameterfvAMD
0x712aba42e8	glNamedFramebufferSamplePositionsfvAMD
0x712aba42f0	glVertexAttribParameteriAMD
0x712aba42f8	glMultiDrawArraysIndirectAMD
0x712aba4300	glMultiDrawElementsIndirectAMD
0x712aba4308	glDeleteNamesAMD
0x712aba4310	glGenNamesAMD
0x712aba4318	glIsNameAMD
0x712aba4320	glQueryObjectParameteruiAMD
0x712aba4328	glBeginPerfMonitorAMD
0x712aba4330	glDeletePerfMonitorsAMD
0x712aba4338	glEndPerfMonitorAMD
0x712aba4340	glGenPerfMonitorsAMD
0x712aba4348	glGetPerfMonitorCounterDataAMD
0x712aba4350	glGetPerfMonitorCounterInfoAMD
0x712aba4358	glGetPerfMonitorCounterStringAMD
0x712aba4360	glGetPerfMonitorCountersAMD
0x712aba4368	glGetPerfMonitorGroupStringAMD
0x712aba4370	glGetPerfMonitorGroupsAMD
0x712aba4378	glSelectPerfMonitorCountersAMD
0x712aba4380	glSetMultisamplefvAMD
0x712aba4388	glTexStorageSparseAMD
0x712aba4390	glTextureStorageSparseAMD
0x712aba4398	glStencilOpValueAMD
0x712aba43a0	glTessellationFactorAMD
0x712aba43a8	glTessellationModeAMD
0x712aba43b0	glBlitFramebufferANGLE
0x712aba43b8	glRenderbufferStorageMultisampleANGLE
0x712aba43c0	glDrawArraysInstancedANGLE
0x712aba43c8	glDrawElementsInstancedANGLE
0x712aba43d0	glVertexAttribDivisorANGLE
0x712aba43d8	glBeginQueryANGLE
0x712aba43e0	glDeleteQueriesANGLE
0x712aba43e8	glEndQueryANGLE
0x712aba43f0	glGenQueriesANGLE
0x712aba43f8	glGetQueryObjecti64vANGLE
0x712aba4400	glGetQueryObjectivANGLE
0x712aba4408	glGetQueryObjectui64vANGLE
0x712aba4410	glGetQueryObjectuivANGLE
0x712aba4418	glGetQueryivANGLE
0x712aba4420	glIsQueryANGLE
0x712aba4428	glQueryCounterANGLE
0x712aba4430	glGetTranslatedShaderSourceANGLE
0x712aba4438	glCopyTextureLevelsAPPLE
0x712aba4440	glDrawElementArrayAPPLE
0x712aba4448	glDrawRangeElementArrayAPPLE
0x712aba4450	glElementPointerAPPLE
0x712aba4458	glMultiDrawElementArrayAPPLE
0x712aba4460	glMultiDrawRangeElementArrayAPPLE
0x712aba4468	glDeleteFencesAPPLE
0x712aba4470	glFinishFenceAPPLE
0x712aba4478	glFinishObjectAPPLE
0x712aba4480	glGenFencesAPPLE
0x712aba4488	glIsFenceAPPLE
0x712aba4490	glSetFenceAPPLE
0x712aba4498	glTestFenceAPPLE
0x712aba44a0	glTestObjectAPPLE
0x712aba44a8	glBufferParameteriAPPLE
0x712aba44b0	glFlushMappedBufferRangeAPPLE
0x712aba44b8	glRenderbufferStorageMultisampleAPPLE
0x712aba44c0	glResolveMultisampleFramebufferAPPLE
0x712aba44c8	glGetObjectParameterivAPPLE
0x712aba44d0	glObjectPurgeableAPPLE
0x712aba44d8	glObjectUnpurgeableAPPLE
0x712aba44e0	glClientWaitSyncAPPLE
0x712aba44e8	glDeleteSyncAPPLE
0x712aba44f0	glFenceSyncAPPLE
0x712aba44f8	glGetInteger64vAPPLE
0x712aba4500	glGetSyncivAPPLE
0x712aba4508	glIsSyncAPPLE
