rom	status	frames	secs	detail
mooneye/acceptance/add_sp_e_timing.gb	HANG	0	0.4	LCD off: PC=0150
mooneye/acceptance/bits/mem_oam.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/bits/reg_f.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/bits/unused_hwio-GS.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_div-S.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_div-dmg0.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_div-dmgABCmgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_div2-S.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_hwio-S.gb	FAIL	2	0.2	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_hwio-dmg0.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_hwio-dmgABCmgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_regs-dmg0.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_regs-dmgABC.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_regs-mgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_regs-sgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/boot_regs-sgb2.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/call_cc_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/call_cc_timing2.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/call_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/call_timing2.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/di_timing-GS.gb	HANG	0	0.4	LCD off: PC=015c
mooneye/acceptance/div_timing.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ei_sequence.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ei_timing.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/halt_ime0_ei.gb	HANG	0	0.3	LCD off: PC=0160
