169 ROMs, 12 workers
[104/169] HANG    mooneye/acceptance/ppu/intr_2_0_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008e7f0) PC=0155
[105/169] TIMEOUT blargg/cgb_sound/cgb_sound.gb  (4200 fr, 213.9s) cgb_sound | 01:    02:    03: | 04
[106/169] PASS    mooneye/acceptance/reti_intr_timing.gb  (2 fr, 0.7s) B=03 C=05 D=08 E=0d H=15 L=22
[107/169] HANG    mooneye/acceptance/ppu/intr_2_mode0_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100083688) PC=0155
[108/169] HANG    mooneye/acceptance/ppu/intr_2_mode3_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100084510) PC=0155
[109/169] HANG    mooneye/acceptance/ppu/intr_2_oam_ok_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100091c9c) PC=0157
[110/169] FAIL    mooneye/acceptance/serial/boot_sclk_align-dmgABCmgb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[111/169] FAIL    mooneye/acceptance/timer/div_write.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[112/169] FAIL    mooneye/acceptance/timer/rapid_toggle.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[113/169] FAIL    mooneye/acceptance/timer/tim00.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[114/169] PASS    mooneye/acceptance/timer/tim00_div_trigger.gb  (2 fr, 0.7s) B=03 C=05 D=08 E=0d H=15 L=22
[115/169] PASS    mooneye/acceptance/timer/tim01.gb  (2 fr, 0.8s) B=03 C=05 D=08 E=0d H=15 L=22
[116/169] HANG    mooneye/acceptance/ppu/stat_irq_blocking.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100087404) PC=015a
[117/169] FAIL    mooneye/acceptance/timer/tim01_div_trigger.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[118/169] FAIL    mooneye/acceptance/timer/tim10.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[119/169] FAIL    mooneye/acceptance/timer/tim10_div_trigger.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[120/169] HANG    mooneye/acceptance/ppu/stat_lyc_onoff.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008e84c) PC=0163
[121/169] FAIL    mooneye/acceptance/timer/tim11.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[122/169] PASS    mooneye/acceptance/timer/tim11_div_trigger.gb  (2 fr, 0.7s) B=03 C=05 D=08 E=0d H=15 L=22
[123/169] FAIL    mooneye/acceptance/timer/tima_reload.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[124/169] FAIL    mooneye/acceptance/timer/tima_write_reloading.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[125/169] FAIL    mooneye/acceptance/timer/tma_write_reloading.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[126/169] TIMEOUT blargg/mem_timing-2/rom_singles/03-modify_timing.gb  (2400 fr, 104.4s) 03-modify_timing | 35:0/0-2/3 | 34:0/0-2/3 | CB 06:0/0-3/4 | CB 0E:0/0-3/4 | CB 16:0/0-3/4
[127/169] HANG    mooneye/acceptance/ppu/vblank_stat_intr-GS.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100083690) PC=0168
[128/169] FAIL    mooneye/emulator-only/mbc1/bits_ramg.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[129/169] FAIL    mooneye/emulator-only/mbc1/multicart_rom_8Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[130/169] TIMEOUT blargg/dmg_sound/dmg_sound.gb  (4200 fr, 216.6s) dmg_sound | 01:    02:    03: | 04
[131/169] FAIL    mooneye/emulator-only/mbc1/rom_16Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[132/169] PASS    mooneye/emulator-only/mbc1/rom_1Mb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[133/169] FAIL    mooneye/emulator-only/mbc1/ram_256kb.gb  (2 fr, 2.2s) B=42 C=42 D=42 E=42 H=42 L=42
[134/169] PASS    mooneye/emulator-only/mbc1/rom_2Mb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[135/169] FAIL    mooneye/emulator-only/mbc1/ram_64kb.gb  (2 fr, 2.2s) B=42 C=42 D=42 E=42 H=42 L=42
[136/169] CRASH   mooneye/emulator-only/mbc2/bits_ramg.gb  (0 fr, 0.0s) cart type 0x06: Carbon has no mapper for this (cart_load would return NULL and crash)
[137/169] CRASH   mooneye/emulator-only/mbc2/bits_romb.gb  (0 fr, 0.0s) cart type 0x06: Carbon has no mapper for this (cart_load would return NULL and crash)
[138/169] CRASH   mooneye/emulator-only/mbc2/bits_unused.gb  (0 fr, 0.0s) cart type 0x06: Carbon has no mapper for this (cart_load would return NULL and crash)
